tsp_6_1.txt 10 132 0 1 2 3 4 5 0
53022.5;0;2;das;0
54568;0;2;qas;0
50274.3;0;3;das;0
54912.4;0;3;qas;0
53517.5;0;4;das;0
54986.2;0;4;qas;0
48433.1;0;5;das;0
45490.5;0;5;qas;0
700.4;1;2;das;3.18182
41713.3;1;2;qas;0.318182
299.4;1;3;das;2.57576
40144.3;1;3;qas;0.257576
597.3;1;4;das;0
18664.2;1;4;qas;0
595.8;1;5;das;0
8589.2;1;5;qas;0
1103.6;2;2;das;10.1515
17462.9;2;2;qas;1.01515
1398.6;2;3;das;3.78788
11285.4;2;3;qas;0.378788
598.8;2;4;das;5.15152
7985;2;4;qas;0.515152
302.1;2;5;das;0
6091.3;2;5;qas;0
output.csv
